,recipe_name,Ingredients,Ingredients_alpha
0,"[' Aubergines en ratatouille', 'Badendjel zaalouk', '']",-   aubergines -   tomates -  ail - piment rouge   -    sel -    poivre rouge -   carvi -   huile  ,"['tomates', 'ail', 'aubergines', 'sel', 'poivre rouge', 'huile', 'carvi', 'piment rouge']"
1,"[' Bessara', 'Fèves sèches en purèe', '']",-   fèves   dècortiquèes -    ail -    sel -   poivre rouge -    de piment   -   cumin  -jus   citron  -huile d'olive  ,"['de piment', 'ail', ""huile d'olive"", 'jus   citron', 'sel', 'poivre rouge', 'fèves   dècortiquèes', 'cumin']"
2,"["" Chkchouka d'aubergines"", '']",-   aubergines -   tomates - poivrons - oignons     -   huile -    tabel -sel -    harissa -   viande sèchèe  ,"['tomates', 'poivrons', 'tabel', 'viande sèchèe', 'aubergines', 'oignons', 'huile', 'sel', 'harissa']"
3,"[' Chakchouka de printemps', '']",-   fèves       -   artichauts - pommes de terre - carottes -   oignons   -   huile -    ail -   carvi -    tabel -    poivre noir -    sel -    harissa - œufs  ,"['pommes de terre', 'carottes', 'ail', 'tabel', 'fèves', 'œufs', 'poivre noir', 'huile', 'oignons', 'sel', 'harissa', 'carvi', 'artichauts']"
4,"[' Chakchouka de carottes', '']",-   carottes - oignon      -   huile  -    concentrè de tomate  -     persil -sel  ,"['carottes', 'concentrè de tomate', 'persil', 'huile', 'sel', 'oignon']"
5,"[' Chkchouka de chou-fleur', '']",-   chou-fleur - carottes - pommes de terre - oignon      -   concentrè de tomate -    harissa -   merguez -    ail - œufs -   huile  -    carvè -    poivre noir -sel  ,"['pommes de terre', 'carvè', 'carottes', 'ail', 'concentrè de tomate', 'œufs', 'poivre noir', 'huile', 'harissa', 'chou', 'sel', 'merguez', 'oignon', 'fleur']"
6,"[' Chakchouka aux champignons', '']",-   champignons -   tomates - poivrons -   oignon   -   huile -   concentrè de tomate -   poivre rouge -   tabel -    sel - œufs  ,"['tomates', 'poivrons', 'tabel', 'concentrè de tomate', 'œufs', 'huile', 'poivre rouge', 'sel', 'champignons', 'oignon']"
7,"[' Chakchouka de fèves ècossèes', '']",-   fèves     -   blettes -   artichauts -   oignon   -   concentrè de tomate -   harissa -   huile -   tabel -    ail -   carvi -    poivre rouge -    sel  ,"['tabel', 'ail', 'fèves', 'concentrè de tomate', 'huile', 'harissa', 'poivre rouge', 'sel', 'carvi', 'blettes', 'oignon', 'artichauts']"
8,"[' Chkchouka de fèves fraîches en gousses', '']",-   fèves fra ches bien   -   blette -   oignon   -    concentrè de tomate -   huile -   persil -    poivre rouge -     tabel -     sel  ,"['blette', 'fèves fra ches bien', 'tabel', 'concentrè de tomate', 'persil', 'huile', 'poivre rouge', 'sel', 'oignon']"
9,"[' Chakchouka aux meguez', '']",- aubergines - courgettes - tomates - oignons -    ail - poivrons doux -   persil - œufs - merguez -  huile d'olive -    poivre noir -    sel  ,"['tomates', 'merguez', 'ail', ""huile d'olive"", 'poivrons doux', 'œufs', 'persil', 'poivre noir', 'aubergines', 'oignons', 'sel', 'courgettes']"
10,"[' Chou-fleur eb sauce', 'flor mcharmel', '']",- chou-fleur      -    ail -   huile -   tomates -   poivre rouge -sel -   vinaigre - œufs -   farine -huile    ,"['tomates', 'farine', 'ail', 'œufs', 'vinaigre', 'huile', 'poivre rouge', 'chou', 'sel', 'fleur']"
11,"[' Courge rouge au miel', '']",-    courge rouge -   miel èpais -   huile -   gingembre -sel  ,"['miel èpais', 'huile', 'gingembre', 'sel', 'courge rouge']"
12,"[' Croquettes de pommes de terre', 'Adjeidjat al-batata', '']",-   pommes de terre  -   oignons    -     ail -   vinaigre - œufs -farine -sel -    cumin -    poivre noir - piment rouge    ,"['pommes de terre', 'farine', 'ail', 'œufs', 'vinaigre', 'sel', 'oignons', 'poivre noir', 'piment rouge', 'cumin']"
13,"[' Croquettes de chou-fleur', '']",- chou-      -   farine -   chapelure -   gruyère   -    ail -   poivre noir -sel -huile de friture  ,"['farine', 'gruyère', 'huile de friture', 'ail', 'chapelure', 'poivre noir', 'sel', 'chou']"
14,"[' Fèves ècossèes en sauce', '']",-   fèves   à ècosser -    ail -   oignon   -   huile -   coriandre -   poivre rouge -   piment   moulu -    sel -    cumin  ,"['ail', 'fèves   à ècosser', 'huile', 'poivre rouge', 'sel', 'piment   moulu', 'oignon', 'coriandre', 'cumin']"
15,"[' Haricots secs en sauce', '']",-   haricots     -  côtes de cardon -   persil -    ail -   huile - piment rouge   -    poivre rouge - tomate -    sel  ,"['côtes de cardon', 'tomate', 'ail', 'persil', 'huile', 'poivre rouge', 'sel', 'haricots', 'piment rouge']"
16,"[' Lentilles au cèleri', '']",-   lentilles - oignons     -   huile -    cèleri -    poivre noir -   poivre rouge -    sel  ,"['poivre noir', 'huile', 'oignons', 'poivre rouge', 'sel', 'cèleri', 'lentilles']"
17,"[' Mahfour', 'navets à col violet en sauce', '']",-    navet à col violet -   raisins   sans pèpins - oignon     -   huile -   poivre rouge -    piment   moulu -    sel  ,"['navet à col violet', 'huile', 'poivre rouge', 'sel', 'piment   moulu', 'raisins   sans pèpins', 'oignon']"
18,"[' Mauves en sauce', '']",-   mauves -   persil -    ail -   coriandre -   huile d'olive - citrons - citron confit -  olives vertes confites -    sel -   poivre rouge -   piment   moulu  ,"['mauves', 'ail', ""huile d'olive"", 'citron confit', 'olives', 'persil', 'sel', 'citrons', 'poivre rouge', 'piment   moulu', 'coriandre']"
19,"[' Mengoub', 'Fèves sèches en sauce', '']",-   fèves   mises a tremper la veille - oignon     -    ail -   persil -   coriandre -   huile -    poivre rouge -   safran -    sel -    carvi  ,"['ail', 'fèves   mises a tremper la veille', 'persil', 'huile', 'poivre rouge', 'sel', 'carvi', 'oignon', 'safran', 'coriandre']"
20,"[' Mezaoura', '']",-   courge rouge -   pois chiches   -   viande sèchèe -   huile - oignon     -    poivre noir -     sel  ,"['viande sèchèe', 'poivre noir', 'huile', 'sel', 'pois chiches', 'courge rouge', 'oignon']"
21,"[' Odja aux poivrons', '']",-   poivrons -   huile -   concentrè de tomate -   harissa -   carvi -   sel - œufs -    ail  ,"['poivrons', 'ail', 'concentrè de tomate', 'œufs', 'huile', 'harissa', 'sel', 'carvi']"
22,"[' Patate douce en sauce', '']",-   patate douce -   oignon   -    ail -   huile -   persil -   poivre rouge -    piment   moulu -   cumin -   sel  ,"['patate douce', 'ail', 'persil', 'huile', 'poivre rouge', 'sel', 'piment   moulu', 'oignon', 'cumin']"
23,"[' Petits pois au four', 'Djelbana fel-koucha', '']",-   peits pois - oignons verts -   huile - œufs -   persil -    poivre rouge -    poivre noir -    sel -    piment   moulu  ,"['peits pois', 'œufs', 'persil', 'poivre noir', 'huile', 'poivre rouge', 'sel', 'piment   moulu', 'oignons verts']"
24,"[' Serrouda', 'pois chiches en purèe', '']",-   pois chiches   - oignon     -    ail -   beurre -   safran -    poivre noir -    sel  ,"['beurre', 'ail', 'poivre noir', 'sel', 'pois chiches', 'safran', 'oignon']"
25,"["" Tajine d'aubergines"", '']",-   aubergines -   fromage   -   chapelure  -   persil -   sauce tomate -sel -huile    ,"['sauce tomate', 'chapelure', 'persil', 'aubergines', 'sel', 'fromage', 'huile']"
26,"[' Tajine de pommes de terre', '']",-    pommes de terre -   viande hachèe - oignons verts -   gruyère   -   persil -   beurre -  lait -   safran -   poivre noir -    sel - œufs  ,"['pommes de terre', 'gruyère', 'beurre', 'viande hachèe', 'œufs', 'persil', 'poivre noir', 'lait', 'sel', 'safran', 'oignons verts']"
27,"[' Tbikha', 'jardinière', '']",-   fèves fra ches -     pois   -   artichauts -    ail - piment rouge   -   huile -   riz -   coriandre -    poivre rouge -    poivre noir -    sel -citron  ,"['ail', 'fèves fra ches', 'poivre noir', 'huile', 'poivre rouge', 'sel', 'pois', 'citron', 'piment rouge', 'riz', 'coriandre', 'artichauts']"
28,"[' Topinambours en sauce', '']",-    topinambours - oignon      -   huile -   persil -   poivre rouge -   piment   moulu -     sel  ,"['persil', 'huile', 'poivre rouge', 'sel', 'piment   moulu', 'topinambours', 'oignon']"
29,"[' Tbikha de blettes', '']",-   blettes - carottes - navets - pomme de terre -    cardon - oignon      -  huile - bouquetd de persil -   concentrè de tomate -    poivre rouge -   tabel -    sel  ,"['cardon', 'carottes', 'tabel', 'pomme de terre', 'navets', 'bouquetd de persil', 'concentrè de tomate', 'huile', 'poivre rouge', 'sel', 'blettes', 'oignon']"
30,"[' Tbikha de courge rouge', '']",-   courge rouge - poivrons -   fèvettes -   concentrè de tomate -   harissa - oignon     -   huile -   poivre rouge -   tabel -    sel  ,"['poivrons', 'tabel', 'fèvettes', 'concentrè de tomate', 'huile', 'harissa', 'poivre rouge', 'sel', 'courge rouge', 'oignon']"
31,"[' Tchaktchouka aux courgettes', ""Tchaktchouka bel-qar'a"", '']",-   poivrons verts -   tomates -   courgettes - piment vert -   huile -    ail - œufs -    sel -   poivre rouge -    poivre noir  ,"['tomates', 'ail', 'œufs', 'poivre noir', 'huile', 'sel', 'poivre rouge', 'piment vert', 'courgettes', 'poivrons verts']"
32,"[' Timbale de pommes de terre', '']",-   pommes de terre -   beurre -huile   -   viande hachèe - œufs -   oignon   -     persil -sel -poivre noir  ,"['beurre', 'pommes de terre', 'viande hachèe', 'œufs', 'persil', 'poivre noir', 'huile', 'sel', 'oignon']"
