,recipe_name,Ingredients,Ingredients_alpha
0,"[' Achoura', '']",-   blè   - litres  eau -   sucre -  ed fruits     -fruits   selon le go t  ,"['fruits   selon le go t', 'ed fruits', 'blè', 'litres  eau', 'sucre']"
1,"[' Acida aux noisettes', '']",-   farine -   sucre     - litres de lait -   noisettes pilèes -   fruis       - crème simple  ,"['noisettes pilèes', 'farine', 'fruis', 'litres de lait', 'crème simple', 'sucre']"
2,"[' Acida de tataouine', '']",-   farine - litres  eau -    sel -huile  ,"['farine', 'sel', 'litres  eau', 'huile']"
3,"[' Acida de grains de pin (zgougou)', '']",-   farine - litres de lait  -   sucre     -   grains de pin -   fruits   - crème simple  ,"['farine', 'grains de pin', 'litres de lait', 'crème simple', 'sucre', 'fruits']"
4,"[' Baghrir', '']",-   semouline -   farine -   eau -    lait  - œufs -   levure de boulanger -sel  ,"['œufs', 'farine', 'lait', 'levure de boulanger', 'semouline', 'sel', 'eau']"
5,"[' Bastèla aux amandes et au lait', '']",- douzaine      bastèla -   amandes   -   sucre     -   lait - œufs -  huile -   beurre - verre à thè  eau fleur  oranger  ,"['œufs', 'lait', 'sucre', 'amandes', 'douzaine      bastèla', 'verre à thè  eau fleur  oranger', 'beurre', 'huile']"
6,"[' Beignets', 'ftayer = khfaf = sfendj', '']",-   farine -    levure de boulanger -    sel -  eau   -huile    ,"['farine', 'levure de boulanger', 'sel', 'eau', 'huile']"
7,"[' Belouza aux amondes', '']",-   lait -   ma zena -   amandes douces   -   amandes amères -   sucre     - jaunes  œufs  ,"['lait', 'ma zena', 'jaunes  œufs', 'amandes douces', 'sucre', 'amandes amères']"
8,"[' Briouats au riz', '']",-   riz -    lait  - verre    eau -   beurre -    sel -  bien remplies de sucre     -   eau de fleur  oranger  ,"['bien remplies de sucre', 'lait', 'verre    eau', 'sel', 'riz', 'eau de fleur  oranger', 'beurre']"
9,"[' Crème blanche', '']",-   lait -   sucre -   ma zena -   eau de rose  ,"['eau de rose', 'lait', 'sucre', 'ma zena']"
10,"[' Crème simple', '']",-    lait  - jaunes  œufs -   ma zena -   sucre     -   eau de rose  ,"['eau de rose', 'lait', 'jaunes  œufs', 'ma zena', 'sucre']"
11,"[' Merfoussa', 'crêpes aux dattes', '']",-  douzaines de trid -    beurre ou smen -    dattes ghars -sucre   -   semouline -   farine -     sel -eau -huile -oignon  ,"['dattes ghars', 'farine', 'oignon', 'semouline', 'douzaines de trid', 'sel', 'eau', 'sucre', 'beurre', 'huile']"
12,"[' Crêpes aux raisins secs', '']",-   semouline -   farine - œufs -   beurre fondu -   raisins   sans pèpins -   levure de boulanger -    sel -eau -beurre -miel ou sucre -jaune  œuf  ,"['miel', 'beurre fondu', 'œufs', 'farine', 'levure de boulanger', 'semouline', 'sel', 'eau', 'jaune  œuf', 'raisins   sans pèpins', 'beurre']"
